time,seconds_elapsed,dBFS
1684213372148000000,31.743,-53.14956283569336
1684213372252000000,31.847,-50.86017990112305
1684213372357000000,31.952,-53.21437454223633
1684213372463000000,32.058,-55.38078308105469
1684213372567000000,32.162,-53.33137512207031
1684213372672000000,32.267,-51.855438232421875
1684213372773000000,32.368,-54.070098876953125
1684213372879000000,32.474,-49.459205627441406
1684213372983000000,32.578,-50.62348556518555
1684213373088000000,32.683,-52.1195182800293
1684213373191000000,32.786,-49.692909240722656
1684213373294000000,32.889000244140625,-52.392330169677734
1684213373398000000,32.993000244140624,-50.33049392700195
1684213373500000000,33.095,-52.10738754272461
1684213373606000000,33.20100024414062,-53.08000183105469
1684213373709000000,33.304,-55.44131851196289
1684213373813000000,33.408,-55.68235397338867
1684213373918000000,33.51300024414063,-54.88745880126953
1684213374021000000,33.616,-51.414302825927734
1684213374123000000,33.718,-52.996463775634766
1684213374228000000,33.823,-54.23434066772461
1684213374331000000,33.926,-53.55740737915039
1684213374435000000,34.03,-55.244850158691406
1684213374542000000,34.13700024414062,-56.97461700439453
1684213374646000000,34.24100024414062,-58.07866668701172
1684213374751000000,34.346,-54.78960037231445
1684213374855000000,34.45,-55.93321990966797
1684213374960000000,34.555,-51.260406494140625
1684213375062000000,34.657000244140626,-53.69575500488281
1684213375167000000,34.762,-54.01124572753906
1684213375273000000,34.868,-55.440834045410156
1684213375377000000,34.972,-52.95575714111328
1684213375481000000,35.076,-53.50542068481445
1684213375584000000,35.179,-50.7711296081543
1684213375690000000,35.284999755859374,-52.46611022949219
1684213375791000000,35.386,-50.1267204284668
1684213375895000000,35.49,-52.1265869140625
1684213376001000000,35.596,-51.46070861816406
1684213376105000000,35.7,-53.06979751586914
1684213376210000000,35.80499975585938,-50.64402389526367
1684213376310000000,35.90500024414062,-51.85126495361328
1684213376414000000,36.00900024414062,-47.58325958251953
1684213376519000000,36.114,-50.51629638671875
1684213376624000000,36.219,-51.77476119995117
1684213376729000000,36.324,-51.4539680480957
1684213376833000000,36.428,-53.79507064819336
1684213376934000000,36.529000244140626,-53.62233352661133
1684213377040000000,36.635,-45.919498443603516
1684213377145000000,36.74,-46.3306884765625
1684213377246000000,36.84100024414062,-48.809669494628906
1684213377351000000,36.946,-46.99936294555664
1684213377456000000,37.051,-48.98015594482422
1684213377557000000,37.152,-39.12556076049805
1684213377662000000,37.25700024414063,-42.63164138793945
1684213377767000000,37.362,-40.506675720214844
1684213377873000000,37.468,-43.02568817138672
1684213377975000000,37.57,-46.66993713378906
1684213378080000000,37.675,-48.224945068359375
1684213378184000000,37.779,-50.99690628051758
1684213378289000000,37.884,-47.60945510864258
1684213378392000000,37.987,-50.38100051879883
1684213378496000000,38.091,-51.430240631103516
1684213378600000000,38.195,-52.228851318359375
1684213378706000000,38.30099975585937,-45.221248626708984
1684213378810000000,38.40499975585937,-38.965087890625
1684213378914000000,38.50899975585938,-41.83031463623047
1684213379020000000,38.615,-45.93517303466797
1684213379123000000,38.718,-48.33877182006836
1684213379229000000,38.824,-46.198150634765625
1684213379333000000,38.928,-41.390869140625
1684213379434000000,39.028999755859374,-43.46670913696289
1684213379539000000,39.134,-29.364194869995117
1684213379644000000,39.239,-33.06016159057617
1684213379749000000,39.344,-34.80158996582031
1684213379850000000,39.44499975585938,-37.730899810791016
1684213379950000000,39.545000244140624,-36.42155838012695
1684213380056000000,39.651,-39.7318115234375
1684213380158000000,39.75300024414062,-43.440406799316406
1684213380263000000,39.858,-40.80430603027344
1684213380364000000,39.959,-44.496646881103516
1684213380467000000,40.062,-44.628421783447266
1684213380568000000,40.163,-47.5822639465332
1684213380672000000,40.267,-49.8134880065918
1684213380774000000,40.36900024414062,-49.66672134399414
1684213380880000000,40.475,-43.069725036621094
1684213380984000000,40.579,-43.985816955566406
1684213381090000000,40.68499975585937,-45.437339782714844
1684213381194000000,40.78899975585937,-47.4415397644043
1684213381300000000,40.895,-36.6619758605957
1684213381401000000,40.996,-40.116981506347656
1684213381506000000,41.10099975585938,-44.12322235107422
1684213381611000000,41.206,-46.847816467285156
1684213381712000000,41.307,-49.14571762084961
1684213381817000000,41.412,-41.005645751953125
1684213381922000000,41.51699975585937,-43.189083099365234
1684213382029000000,41.624,-44.8216438293457
