time,seconds_elapsed,dBFS
1684212938947000000,25.063,-37.58213424682617
1684212939047000000,25.163,-39.757423400878906
1684212939147000000,25.263,-42.892391204833984
1684212939247000000,25.363,-41.919349670410156
1684212939347000000,25.463,-37.61515426635742
1684212939447000000,25.563,-34.473289489746094
1684212939547000000,25.663,-37.00507736206055
1684212939647000000,25.763,-38.83474349975586
1684212939746000000,25.861999755859376,-39.136356353759766
1684212939847000000,25.963,-37.18083953857422
1684212939947000000,26.063,-38.499732971191406
1684212940047000000,26.163,-38.276275634765625
1684212940147000000,26.263,-38.04146957397461
1684212940247000000,26.363,-37.74413299560547
1684212940347000000,26.463,-38.760311126708984
1684212940447000000,26.563,-39.65116500854492
1684212940547000000,26.663,-41.24104690551758
1684212940647000000,26.763,-43.95161056518555
1684212940747000000,26.863,-47.09251022338867
1684212940847000000,26.963,-48.51124954223633
1684212940946000000,27.061999755859375,-46.22239303588867
1684212941047000000,27.163,-46.40222930908203
1684212941147000000,27.263,-46.31056213378906
1684212941247000000,27.363,-48.39869689941406
1684212941346000000,27.461999755859374,-47.24877166748047
1684212941447000000,27.563,-46.224849700927734
1684212941547000000,27.663,-49.07870101928711
1684212941647000000,27.763,-49.71699142456055
1684212941747000000,27.863,-52.229820251464844
1684212941847000000,27.963,-54.625911712646484
1684212941946000000,28.061999755859375,-53.359798431396484
1684212942047000000,28.163,-52.352142333984375
1684212942147000000,28.263,-49.666446685791016
1684212942246000000,28.362000244140624,-51.39036178588867
1684212942346000000,28.461999755859374,-53.10110092163086
1684212942447000000,28.563,-48.55183792114258
1684212942547000000,28.663,-44.59816360473633
1684212942646000000,28.762000244140626,-42.99473571777344
1684212942746000000,28.861999755859376,-38.50649642944336
1684212942847000000,28.963,-37.21270751953125
1684212942966000000,29.082000244140627,-38.651878356933594
1684212943080000000,29.196,-36.88408660888672
1684212943180000000,29.296,-38.32209777832031
1684212943297000000,29.413,-39.54310607910156
1684212943397000000,29.513,-38.2225456237793
1684212943496000000,29.612,-34.3702392578125
1684212943596000000,29.712,-34.71358108520508
1684212943697000000,29.813,-37.069496154785156
1684212943797000000,29.913,-37.93669509887695
1684212943896000000,30.012,-38.95417404174805
1684212943997000000,30.113,-41.26737976074219
1684212944113000000,30.229,-45.27275085449219
1684212945375000000,31.491,-45.570556640625
1684212945381000000,31.497,-45.570556640625
1684212945483000000,31.599,-43.92795944213867
1684212945584000000,31.7,-46.72970962524414
1684212945690000000,31.805999755859375,-48.32218551635742
1684212945793000000,31.909,-50.68242645263672
1684212945894000000,32.01000024414063,-50.6048469543457
1684212946000000000,32.116,-52.479248046875
1684212946105000000,32.221,-47.0746955871582
1684212946210000000,32.32599975585938,-46.49675369262695
1684212946310000000,32.426000244140624,-46.30522537231445
1684212946415000000,32.531,-41.210445404052734
1684212946520000000,32.636,-40.51723098754883
1684212946624000000,32.74,-37.926414489746094
1684212946730000000,32.845999755859374,-33.695762634277344
1684212946835000000,32.951,-36.480430603027344
1684212946936000000,33.052,-38.507118225097656
1684212947041000000,33.157,-39.52450180053711
1684212947144000000,33.26,-37.85173416137695
1684212947249000000,33.365,-36.555843353271484
1684212947354000000,33.46999975585938,-37.76608657836914
1684212947459000000,33.575,-36.113136291503906
1684212947564000000,33.68,-38.449615478515625
1684212947669000000,33.785,-42.217071533203125
1684212947772000000,33.888,-45.558013916015625
1684212947873000000,33.989,-47.875335693359375
1684212947977000000,34.093,-50.36632537841797
1684212948079000000,34.195,-52.26816177368164
1684212948182000000,34.298000244140624,-47.756736755371094
1684212948284000000,34.4,-49.37565612792969
1684212948386000000,34.50199975585937,-39.733097076416016
1684212948491000000,34.607,-43.19342803955078
1684212948592000000,34.708,-46.32101058959961
1684212948697000000,34.813,-49.19281768798828
1684212948802000000,34.91799975585938,-50.68575668334961
1684212948907000000,35.023,-50.976314544677734
1684212949011000000,35.127,-44.817405700683594
1684212949116000000,35.232,-46.987205505371094
1684212949221000000,35.337,-48.99580764770508
1684212949326000000,35.44200024414062,-51.26423263549805
1684212949426000000,35.54199975585937,-52.94265365600586
1684212949532000000,35.648,-52.56147766113281
1684212949637000000,35.753,-52.66736602783203
1684212949742000000,35.85800024414063,-55.55401611328125
1684212949845000000,35.961,-56.214111328125
1684212949950000000,36.066000244140625,-51.47041702270508
1684212950055000000,36.171,-52.86628341674805
1684212950160000000,36.276,-50.15028762817383
1684212950265000000,36.381,-50.365936279296875
1684212950369000000,36.485,-43.33512496948242
1684212950470000000,36.58600024414063,-39.01871871948242
1684212950575000000,36.691,-39.02007293701172
1684212950677000000,36.793,-39.56268310546875
1684212950777000000,36.893,-40.91424560546875
1684212950883000000,36.999,-36.471702575683594
